galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
NGC2903,src/sidmkit/sparc_data/Rotmod_LTG/NGC2903_rotmod.dat,6.6,nfw,34,3,184.97594829388967,31,5.966966073996441,190.97594829388967,195.55502986773814,0.2385670335568325,,True,`ftol` termination condition is satisfied.,0.0021584033966064453,,0.7066444730577804,,7.9944854747801894
NGC2903,src/sidmkit/sparc_data/Rotmod_LTG/NGC2903_rotmod.dat,6.6,burkert,34,3,209.18441852140288,31,6.747884468432351,215.18441852140288,219.76350009525135,0.3665419130841635,,True,`ftol` termination condition is satisfied.,0.0023081302642822266,0.6339694924283047,,8.08199707518204,
NGC2915,src/sidmkit/sparc_data/Rotmod_LTG/NGC2915_rotmod.dat,4.06,nfw,30,3,24.501952470187387,27,0.9074797211180514,30.501952470187387,34.70554461517385,0.39429009326226033,,True,`ftol` termination condition is satisfied.,0.0015630722045898438,,0.713456524068623,,7.330880323826795
NGC2915,src/sidmkit/sparc_data/Rotmod_LTG/NGC2915_rotmod.dat,4.06,burkert,30,3,14.003742845694589,27,0.5186571424331329,20.00374284569459,24.207334990681055,0.4081624131933098,,True,`ftol` termination condition is satisfied.,0.0013668537139892578,0.311701228596989,,8.124628123594178,
NGC2955,src/sidmkit/sparc_data/Rotmod_LTG/NGC2955_rotmod.dat,97.9,nfw,24,4,68.89086578623821,20,3.4445432893119103,76.89086578623821,81.60308110762999,0.19100011512575782,0.6799712042012029,True,`ftol` termination condition is satisfied.,0.0016300678253173828,,1.2457773109455204,,7.096473466461765
NGC2955,src/sidmkit/sparc_data/Rotmod_LTG/NGC2955_rotmod.dat,97.9,burkert,24,4,65.67190914334071,20,3.283595457167036,73.67190914334071,78.3841244647325,0.2570189359768695,0.8220686224435747,True,`ftol` termination condition is satisfied.,0.0031723976135253906,1.0230052224549153,,7.510101745707667,
NGC2974,src/sidmkit/sparc_data/Rotmod_ETG/NGC2974_rotmod.dat,22.1,nfw,2,4,2.1157042618099032e-26,-2,,8.0,2.772588722239781,0.5,0.7000000000000005,True,`gtol` termination condition is satisfied.,0.002308368682861328,,0.3216729461032945,,9.174218271364545
NGC2974,src/sidmkit/sparc_data/Rotmod_ETG/NGC2974_rotmod.dat,22.1,burkert,2,4,2.2473174724242335e-20,-2,,8.0,2.772588722239781,0.4999999999997593,0.7000000000155933,True,`gtol` termination condition is satisfied.,0.0027878284454345703,0.010133989800003762,,9.884545394949185,
NGC2976,src/sidmkit/sparc_data/Rotmod_LTG/NGC2976_rotmod.dat,3.58,nfw,27,3,26.513269503615334,24,1.104719562650639,32.513269503615334,36.40078010162832,0.7721699342742642,,True,`ftol` termination condition is satisfied.,0.0023012161254882812,,2.499999998824165,,4.685779745934553
NGC2976,src/sidmkit/sparc_data/Rotmod_LTG/NGC2976_rotmod.dat,3.58,burkert,27,3,7.557377947584586,24,0.3148907478160244,13.557377947584586,17.44488854559757,0.48638273681439187,,True,`ftol` termination condition is satisfied.,0.0009691715240478516,0.5282464700187635,,7.931501842312026,
NGC2998,src/sidmkit/sparc_data/Rotmod_LTG/NGC2998_rotmod.dat,68.1,nfw,13,3,23.764702919555447,10,2.3764702919555445,29.764702919555447,31.459550991940056,0.34488011609148256,,True,`ftol` termination condition is satisfied.,0.002266407012939453,,1.0490291472126483,,7.356265679463323
NGC2998,src/sidmkit/sparc_data/Rotmod_LTG/NGC2998_rotmod.dat,68.1,burkert,13,3,30.726905975125106,10,3.0726905975125107,36.726905975125106,38.421754047509715,0.7831189572070606,,True,`ftol` termination condition is satisfied.,0.0018076896667480469,1.2694596208435402,,6.818520430956626,
NGC3109,src/sidmkit/sparc_data/Rotmod_LTG/NGC3109_rotmod.dat,1.33,nfw,25,3,201.01995674398907,22,9.137270761090413,207.01995674398907,210.67658421859366,0.41923083027099,,True,`ftol` termination condition is satisfied.,0.0019330978393554688,,2.4999999999999996,,4.8132989400584405
NGC3109,src/sidmkit/sparc_data/Rotmod_LTG/NGC3109_rotmod.dat,1.33,burkert,25,3,4.069180618894808,22,0.18496275540430943,10.069180618894809,13.72580809349941,0.49809442217467736,,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.0009520053863525391,0.6673562147689743,,7.3287585218577345,
NGC3198,src/sidmkit/sparc_data/Rotmod_LTG/NGC3198_rotmod.dat,13.8,nfw,43,3,55.5178108409305,40,1.3879452710232625,61.5178108409305,66.80141118801119,0.45793841617920694,,True,`ftol` termination condition is satisfied.,0.001863241195678711,,1.1691625885647212,,6.8479843278533945
NGC3198,src/sidmkit/sparc_data/Rotmod_LTG/NGC3198_rotmod.dat,13.8,burkert,43,3,56.611304287961914,40,1.4152826071990479,62.611304287961914,67.89490463504261,0.6878864130930774,,True,`ftol` termination condition is satisfied.,0.002241373062133789,0.9587273609121346,,7.2340956579430085,
NGC3521,src/sidmkit/sparc_data/Rotmod_LTG/NGC3521_rotmod.dat,7.7,nfw,41,3,8.65625588024656,38,0.22779620737490947,14.65625588024656,19.79697208035948,0.5411095165494063,,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.0030517578125,,2.4999999999955222,,5.337090417845202
NGC3521,src/sidmkit/sparc_data/Rotmod_LTG/NGC3521_rotmod.dat,7.7,burkert,41,3,6.8439642040860615,38,0.1801043211601595,12.843964204086062,17.984680404198983,0.5772724298515458,,True,`ftol` termination condition is satisfied.,0.0014085769653320312,1.1395192284068,,7.2576944091116165,
NGC3522,src/sidmkit/sparc_data/Rotmod_ETG/NGC3522_rotmod.dat,25.2,nfw,2,4,4.385274618403482e-23,-2,,8.0,2.772588722239781,0.4999999999999891,0.700000000000342,True,`gtol` termination condition is satisfied.,0.0018897056579589844,,-0.36061672206385764,,10.051654751322276
NGC3522,src/sidmkit/sparc_data/Rotmod_ETG/NGC3522_rotmod.dat,25.2,burkert,2,4,3.717654717467381e-21,-2,,8.0,2.772588722239781,0.49999999999996597,0.7000000002298435,True,`gtol` termination condition is satisfied.,0.0019335746765136719,-0.5519762127228642,,10.523014638307897,
NGC3626,src/sidmkit/sparc_data/Rotmod_ETG/NGC3626_rotmod.dat,22.9,nfw,2,4,0.31508891074196793,-2,,8.315088910741968,3.087677632981749,0.4993558903719945,0.5894667152556037,True,`ftol` termination condition is satisfied.,0.0053136348724365234,,2.4999999496598826,,5.135268194858496
NGC3626,src/sidmkit/sparc_data/Rotmod_ETG/NGC3626_rotmod.dat,22.9,burkert,2,4,0.3007853649336298,-2,,8.30078536493363,3.073374087173411,0.4991371833141332,0.5916786664200585,True,`xtol` termination condition is satisfied.,0.013774633407592773,2.0801959475952145,,6.70047917541442,
NGC3726,src/sidmkit/sparc_data/Rotmod_LTG/NGC3726_rotmod.dat,18.0,nfw,12,3,19.344485733738505,9,2.149387303748723,25.344485733738505,26.799205683102507,0.5332496320338667,,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.0028018951416015625,,2.499999999999998,,4.919923092753162
NGC3726,src/sidmkit/sparc_data/Rotmod_LTG/NGC3726_rotmod.dat,18.0,burkert,12,3,17.71093813644877,9,1.9678820151609746,23.71093813644877,25.165658085812773,0.6263266853263472,,True,`ftol` termination condition is satisfied.,0.0025959014892578125,1.5336467054041232,,6.428205390749992,
NGC3741,src/sidmkit/sparc_data/Rotmod_LTG/NGC3741_rotmod.dat,3.21,nfw,21,3,6.532053875442054,18,0.362891881969003,12.532053875442054,15.665621188612324,0.4949008559241812,,True,`ftol` termination condition is satisfied.,0.002454519271850586,,1.3987525481700924,,5.884865558015925
NGC3741,src/sidmkit/sparc_data/Rotmod_LTG/NGC3741_rotmod.dat,3.21,burkert,21,3,19.083394562655663,18,1.0601885868142036,25.083394562655663,28.21696187582593,0.6342406816262603,,True,`ftol` termination condition is satisfied.,0.0012309551239013672,0.44402574679797663,,7.4136766192076635,
NGC3769,src/sidmkit/sparc_data/Rotmod_LTG/NGC3769_rotmod.dat,18.0,nfw,12,3,6.628811004061596,9,0.736534556006844,12.628811004061596,14.083530953425598,0.37649522356279164,,True,`ftol` termination condition is satisfied.,0.0015559196472167969,,1.0877466399610296,,6.837560797446596
NGC3769,src/sidmkit/sparc_data/Rotmod_LTG/NGC3769_rotmod.dat,18.0,burkert,12,3,5.393909739070834,9,0.5993233043412037,11.393909739070834,12.848629688434835,0.4445748274877568,,True,`ftol` termination condition is satisfied.,0.0011639595031738281,0.7777880515603853,,7.440330248280385,
NGC3838,src/sidmkit/sparc_data/Rotmod_ETG/NGC3838_rotmod.dat,23.1,nfw,2,4,2.445262135233987e-21,-2,,8.0,2.772588722239781,0.5000000000000115,0.7000000000082176,True,`gtol` termination condition is satisfied.,0.002042531967163086,,0.1527692154670808,,9.161959257091521
NGC3838,src/sidmkit/sparc_data/Rotmod_ETG/NGC3838_rotmod.dat,23.1,burkert,2,4,1.5442555754988418e-28,-2,,8.0,2.772588722239781,0.5,0.7,True,`gtol` termination condition is satisfied.,0.0024404525756835938,-0.18758896106243095,,9.995837971630001,
NGC3877,src/sidmkit/sparc_data/Rotmod_LTG/NGC3877_rotmod.dat,18.0,nfw,13,3,45.83495829614606,10,4.583495829614606,51.83495829614606,53.52980636853067,0.2460056185853981,,True,`ftol` termination condition is satisfied.,0.0015015602111816406,,0.944589754782103,,7.376548097735027
NGC3877,src/sidmkit/sparc_data/Rotmod_LTG/NGC3877_rotmod.dat,18.0,burkert,13,3,14.255744629161233,10,1.4255744629161233,20.255744629161235,21.950592701545844,0.16171444042341523,,True,`ftol` termination condition is satisfied.,0.0016324520111083984,0.47771506461133756,,8.32806893948178,
NGC3893,src/sidmkit/sparc_data/Rotmod_LTG/NGC3893_rotmod.dat,18.0,nfw,10,3,5.309630997130757,7,0.7585187138758224,11.309630997130757,12.217386276112894,0.39521827471367,,True,`ftol` termination condition is satisfied.,0.002259969711303711,,1.0032847634552586,,7.314743203043694
NGC3893,src/sidmkit/sparc_data/Rotmod_LTG/NGC3893_rotmod.dat,18.0,burkert,10,3,1.6688500612766564,7,0.2384071516109509,7.668850061276657,8.576605340258794,0.4430303750898906,,True,`ftol` termination condition is satisfied.,0.0013973712921142578,0.635501227075062,,8.005699400432745,
NGC3917,src/sidmkit/sparc_data/Rotmod_LTG/NGC3917_rotmod.dat,18.0,nfw,17,3,49.59554535392401,14,3.542538953851715,55.59554535392401,58.09518538609266,0.7422336806139638,,True,`ftol` termination condition is satisfied.,0.002138376235961914,,1.6490965634427073,,6.0107632994814795
NGC3917,src/sidmkit/sparc_data/Rotmod_LTG/NGC3917_rotmod.dat,18.0,burkert,17,3,15.985514233108336,14,1.141822445222024,21.985514233108336,24.485154265276986,0.4429761008692087,,True,`ftol` termination condition is satisfied.,0.0012884140014648438,0.6726782933178393,,7.730232597270227,
NGC3941,src/sidmkit/sparc_data/Rotmod_ETG/NGC3941_rotmod.dat,12.4,nfw,2,4,0.22419139730303506,-2,,8.224191397303034,2.9967801195428163,0.49629830471500985,0.6173109029953714,True,`xtol` termination condition is satisfied.,0.006363391876220703,,2.4999999999999782,,5.141173540404094
NGC3941,src/sidmkit/sparc_data/Rotmod_ETG/NGC3941_rotmod.dat,12.4,burkert,2,4,0.21024378911924999,-2,,8.21024378911925,2.9828325113590313,0.4962467861563674,0.6197323396678451,True,`ftol` termination condition is satisfied.,0.016706466674804688,2.0880687600895556,,6.759576791944493,
NGC3945,src/sidmkit/sparc_data/Rotmod_ETG/NGC3945_rotmod.dat,22.8,nfw,2,4,2.1881911785470566e-29,-2,,8.0,2.772588722239781,0.5,0.7000000000000001,True,`gtol` termination condition is satisfied.,0.0018808841705322266,,0.17849270930886976,,9.251763384792607
NGC3945,src/sidmkit/sparc_data/Rotmod_ETG/NGC3945_rotmod.dat,22.8,burkert,2,4,1.0134033424126868e-28,-2,,8.0,2.772588722239781,0.5,0.7,True,`gtol` termination condition is satisfied.,0.002642393112182617,-0.043965629633462074,,9.769740255051438,
NGC3949,src/sidmkit/sparc_data/Rotmod_LTG/NGC3949_rotmod.dat,18.0,nfw,7,3,1.562962953435752,4,0.390740738358938,7.562962953435752,7.400693400601692,0.4466322096077027,,True,`ftol` termination condition is satisfied.,0.003255605697631836,,2.499999999999996,,5.350965400065447
NGC3949,src/sidmkit/sparc_data/Rotmod_LTG/NGC3949_rotmod.dat,18.0,burkert,7,3,1.6139409274544965,4,0.4034852318636241,7.613940927454497,7.451671374620436,0.5294287235112548,,True,`xtol` termination condition is satisfied.,0.003289461135864258,2.492501363818763,,7.175890344217122,
NGC3953,src/sidmkit/sparc_data/Rotmod_LTG/NGC3953_rotmod.dat,18.0,nfw,8,3,1.5552925316594424,5,0.3110585063318885,7.555292531659442,7.793617156698949,0.48502240717143424,,True,`ftol` termination condition is satisfied.,0.0012850761413574219,,0.8515351353090862,,7.566517214950972
NGC3953,src/sidmkit/sparc_data/Rotmod_LTG/NGC3953_rotmod.dat,18.0,burkert,8,3,0.9677748859129384,5,0.19355497718258768,6.967774885912938,7.206099510952445,0.47456051824695317,,True,`ftol` termination condition is satisfied.,0.0012676715850830078,0.528530398685238,,8.22094819066496,
NGC3972,src/sidmkit/sparc_data/Rotmod_LTG/NGC3972_rotmod.dat,18.0,nfw,10,3,9.047755768872179,7,1.2925365384103114,15.047755768872179,15.955511047854316,0.4765914406445836,,True,`ftol` termination condition is satisfied.,0.0019066333770751953,,1.7192410541186802,,6.120643637427421
NGC3972,src/sidmkit/sparc_data/Rotmod_LTG/NGC3972_rotmod.dat,18.0,burkert,10,3,5.782326331884187,7,0.8260466188405982,11.782326331884187,12.690081610866326,0.45077452929927914,,True,`ftol` termination condition is satisfied.,0.0011255741119384766,0.5792202926448643,,7.875085949100961,
NGC3992,src/sidmkit/sparc_data/Rotmod_LTG/NGC3992_rotmod.dat,23.7,nfw,9,3,2.891660526692225,6,0.4819434211153708,8.891660526692224,9.483334258700882,0.49204162392955253,,True,`ftol` termination condition is satisfied.,0.0013442039489746094,,1.0549855231547371,,7.469228241896144
NGC3992,src/sidmkit/sparc_data/Rotmod_LTG/NGC3992_rotmod.dat,23.7,burkert,9,3,4.250797858622255,6,0.7084663097703757,10.250797858622255,10.842471590630913,0.44385648951358364,,True,`ftol` termination condition is satisfied.,0.001529693603515625,0.8087813671521507,,7.996897019986369,
NGC3998,src/sidmkit/sparc_data/Rotmod_ETG/NGC3998_rotmod.dat,14.2,nfw,2,4,2.793064521192429e-25,-2,,8.0,2.772588722239781,0.49999999999999944,0.7000000000000167,True,`gtol` termination condition is satisfied.,0.002602815628051758,,-0.25984793041558246,,10.51210238314749
NGC3998,src/sidmkit/sparc_data/Rotmod_ETG/NGC3998_rotmod.dat,14.2,burkert,2,4,8.129052556090385e-25,-2,,8.0,2.772588722239781,0.499999999999999,0.7000000000000527,True,`gtol` termination condition is satisfied.,0.0033338069915771484,-0.42003501488234013,,10.901344373023187,
